filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig16b,False,1,None,False,40,,10,0.01,348,0.0024949586950242,49:21
fig4a,True,1,None,False,40,0.5,3,1.0,489,0.0003923785698134,31:07
fig16b,True,1,strong_wolfe,True,40,,10,1.0,243,0.0003349284233991,37:30
fig4a,True,1,None,True,40,0.5,3,1.0,628,0.0003833566734101,43:38
fig4a,True,0,None,True,20,1.0,100,1.0,412,0.0004152368346694,28:08
fig4a,False,1,strong_wolfe,False,40,1.0,10,1.0,283,0.0003273668990004,35:42
fig16b,True,1,None,False,20,,10,0.01,526,0.0023425756953656,36:57
fig4a,True,1,strong_wolfe,False,10,0.5,3,1.0,1171,0.0012670534197241,20:14
fig4a,True,0,None,False,10,1.0,100,1.0,912,0.0005505393492057,31:35
fig4a,False,1,None,False,5,0.5,10,1.0,2001,0.0141285853460431,13:31
fig4a,True,1,strong_wolfe,False,5,0.5,3,0.01,2001,0.0396650619804859,21:42
fig16b,False,1,strong_wolfe,False,10,0.5,10,0.01,2001,0.0032533165067434,38:51
fig16b,False,1,None,True,10,0.5,10,0.01,1657,0.0040505290962755,27:47
fig16b,False,0,None,True,40,0.5,10,0.01,426,0.0031171657610684,29:16
fig4a,False,1,strong_wolfe,True,20,,3,1.0,336,0.0003950899990741,26:21
fig16b,False,0,strong_wolfe,True,40,0.5,100,0.01,756,0.0009572489070706,50:39
fig16b,True,0,None,False,10,1.0,10,0.01,937,0.0046445769257843,32:32
fig4a,False,0,strong_wolfe,False,20,1.0,100,0.01,898,0.0009698116336949,1:01:49
fig4a,False,0,strong_wolfe,True,40,1.0,100,1.0,221,0.0003013706009369,30:35
fig16b,True,1,strong_wolfe,True,40,,10,0.01,549,0.000328644469846,1:31:24
fig4a,False,1,strong_wolfe,False,10,,10,0.01,1475,0.0013968617422506,1:01:10
fig4a,False,0,strong_wolfe,True,10,0.5,3,0.01,1711,0.0020862626843154,34:30
fig16b,True,1,None,False,20,1.0,100,1.0,380,0.0002609659568406,26:23
fig16b,True,1,strong_wolfe,False,10,,100,1.0,694,0.000372088572476,28:02
fig16b,False,0,strong_wolfe,False,5,1.0,3,1.0,911,0.0010591393802314,15:48
fig16b,True,0,strong_wolfe,False,10,0.5,100,0.01,2001,0.0042141918092966,39:02
fig16b,True,1,None,True,20,0.5,3,1.0,658,0.0006318690138868,22:48
fig16b,True,0,None,True,40,0.5,3,1.0,366,0.0002876669750548,25:05
fig16b,True,1,strong_wolfe,True,20,1.0,100,0.01,897,0.0006568988319486,1:01:26
fig4a,True,1,None,True,10,0.5,100,0.01,294,0.0376236774027347,04:48
fig16b,False,1,None,False,10,1.0,3,0.01,1009,0.0042718700133264,35:04
fig4a,True,0,None,False,40,0.5,100,0.01,341,0.016953594982624,23:43
fig4a,False,1,None,False,10,1.0,100,0.01,508,0.0211013481020927,17:43
fig16b,False,0,strong_wolfe,True,10,,3,0.01,989,0.0013796520652249,41:38
fig16b,True,0,strong_wolfe,True,10,1.0,10,1.0,645,0.0005879735690541,22:35
fig16b,True,0,None,True,5,1.0,3,0.01,1605,0.0029679310973733,27:50
fig4a,False,1,None,True,40,,10,1.0,699,0.0002041038387687,1:25:17
fig4a,False,1,strong_wolfe,True,5,0.5,10,1.0,2001,0.0030979455914348,13:59
fig16b,True,0,strong_wolfe,True,20,1.0,3,0.01,866,0.0005422066315077,59:09
fig16b,False,0,None,False,40,0.5,100,1.0,360,0.0003463881148491,24:48
fig4a,False,1,None,True,10,1.0,10,1.0,1068,0.0016775587573647,36:37
fig16b,False,1,strong_wolfe,True,10,0.5,3,0.01,1467,0.0024652031715959,29:37
fig4a,True,0,strong_wolfe,True,10,,100,1.0,539,0.0006743341800756,21:25
fig16b,True,0,None,False,10,0.5,3,1.0,1135,0.00116434879601,19:53
fig16b,True,1,strong_wolfe,True,10,,10,1.0,642,0.0004621332045644,26:13
fig4a,False,1,None,False,5,1.0,10,0.01,976,0.0225474461913108,16:51
fig16b,False,1,strong_wolfe,True,10,1.0,10,0.01,1079,0.0016053571598604,37:50
fig4a,True,0,None,False,20,,10,1.0,403,0.000379185861675,28:05
fig16b,True,1,None,False,10,1.0,10,0.01,931,0.0048457290977239,32:23
fig4a,False,1,strong_wolfe,True,40,,100,0.01,432,0.0004776891728397,1:03:39
